BioSample_s	Experiment_s	InsertSize_l	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	tissue_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN01805559	SRX204203	200	2012-11-11	27878	18810	2013-03-27	SRR616196	SRS375099	T54	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805559	SRX204204	300	2012-11-11	23055	15361	2013-03-27	SRR616197	SRS375099	T54	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01806162	SRX204209	200	2012-11-12	29863	20263	2013-03-27	SRR616248	SRS375106	T60	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01806162	SRX204210	300	2012-11-12	23321	15515	2013-03-27	SRR616249	SRS375106	T60	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01806163	SRX204211	200	2012-11-12	30701	20840	2013-03-27	SRR616250	SRS375107	T66	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01806163	SRX204212	300	2012-11-12	25491	17090	2013-03-27	SRR616251	SRS375107	T66	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01806164	SRX204213	200	2012-11-12	24831	17767	2013-03-27	SRR616252	SRS375108	T72	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01806164	SRX204214	300	2012-11-12	27403	18648	2013-03-27	SRR616253	SRS375108	T72	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315091	SRX333360	200	2013-08-10	38703	26585	2014-08-15	SRR950094	SRS468722	Etiolated_T06	Leave(06-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315091	SRX333361	300	2013-08-10	25910	16263	2014-08-15	SRR950095	SRS468722	Etiolated_T06	Leave(06-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315092	SRX333362	200	2013-08-10	32028	21237	2014-08-15	SRR950096	SRS468723	Etiolated_T12	Leave(12-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315092	SRX333363	300	2013-08-10	33408	22137	2014-08-15	SRR950097	SRS468723	Etiolated_T12	Leave(12-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315093	SRX333364	200	2013-08-10	37103	25463	2014-08-15	SRR950098	SRS468724	Etiolated_T18	Leave(18-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315093	SRX333365	300	2013-08-10	30965	20487	2014-08-15	SRR950099	SRS468724	Etiolated_T18	Leave(18-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315094	SRX333366	200	2013-08-10	24283	15420	2014-08-15	SRR950100	SRS468725	Etiolated_T24	Leave(24-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315094	SRX333367	300	2013-08-10	27566	18111	2014-08-15	SRR950101	SRS468725	Etiolated_T24	Leave(24-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315095	SRX333368	200	2013-08-11	37460	26045	2014-08-15	SRR950102	SRS468726	Etiolated_T30	Leave(30-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315095	SRX333369	300	2013-08-10	21958	14065	2014-08-15	SRR950103	SRS468726	Etiolated_T30	Leave(30-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315096	SRX333370	200	2013-08-11	32439	21462	2014-08-15	SRR950104	SRS468727	Etiolated_T36	Leave(36-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315096	SRX333371	300	2013-08-11	20853	13677	2014-08-15	SRR950105	SRS468727	Etiolated_T36	Leave(36-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315097	SRX333378	200	2013-08-11	38242	26404	2014-08-15	SRR950110	SRS468734	Etiolated_T42	Leave(42-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315097	SRX333379	300	2013-08-11	23031	14817	2014-08-15	SRR950111	SRS468734	Etiolated_T42	Leave(42-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315098	SRX333380	200	2013-08-11	24313	15117	2014-08-15	SRR950161	SRS468735	Etiolated_T48	Leave(48-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315098	SRX333381	300	2013-08-11	20435	13070	2014-08-15	SRR950162	SRS468735	Etiolated_T48	Leave(48-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315099	SRX333382	200	2013-08-11	30006	19970	2014-08-15	SRR950163	SRS468736	Etiolated_T54	Leave(54-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315099	SRX333383	300	2013-08-11	18489	11501	2014-08-15	SRR950164	SRS468736	Etiolated_T54	Leave(54-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315100	SRX333400	200	2013-08-11	33405	22176	2014-08-15	SRR950181	SRS468753	Etiolated_T60	Leave(60-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315100	SRX333401	300	2013-08-11	30734	20796	2014-08-15	SRR950182	SRS468753	Etiolated_T60	Leave(60-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315101	SRX333402	200	2013-08-11	32491	21461	2014-08-15	SRR950183	SRS468754	Etiolated_T66	Leave(66-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315101	SRX333403	300	2013-08-11	28671	18888	2014-08-15	SRR950184	SRS468754	Etiolated_T66	Leave(66-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315102	SRX333404	200	2013-08-11	37057	25055	2014-08-15	SRR950185	SRS468755	Etiolated_T72	Leave(72-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN02315102	SRX333405	300	2013-08-11	39748	27731	2014-08-15	SRR950186	SRS468755	Etiolated_T72	Leave(72-Hour)	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
