Species,Common Name,County,Year,Division,Temperature (Celsius) ,Flowering Date (Day of Year) 
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1971,DIV5,6.55,149
Cornus_florida,Flowering dogwood,Fairfield Co.,1971,DIV5,6.55,138
Cornus_florida,Flowering dogwood,Hamilton Co.,1980,DIV8,6.57,126
Aquilegia_canadensis,Columbine,Belmont Co.,1910,DIV10,6.58,147
Cypripedium_acaule,Moccasin flower,Hocking Co.,1983,DIV10,6.62,144
Cornus_florida,Flowering dogwood,Hocking Co.,1983,DIV10,6.62,125
Cornus_florida,Flowering dogwood,Huron Co.,1964,DIV2,6.63,135
Castilleja_coccinea,Indian's Paintbrush,Adams Co.,1924,DIV8,6.69,152
Cornus_florida,Flowering dogwood,Champaign Co.,1902,DIV4,6.69,123
Cypripedium_acaule,Moccasin flower,Hocking Co.,1982,DIV10,6.79,128
Cornus_florida,Flowering dogwood,Hocking Co.,1982,DIV10,6.79,122
Aquilegia_canadensis,Columbine,Wayne Co.,1939,DIV6,6.8,130
Aquilegia_canadensis,Columbine,Clinton Co.,1989,DIV8,6.82,140
Aquilegia_canadensis,Columbine,Meigs Co.,1933,DIV10,6.84,154
Cypripedium_acaule,Moccasin flower,Hocking Co.,1929,DIV10,6.9,145
Cornus_florida,Flowering dogwood,Lorain Co.,1973,DIV2,6.92,125
Aquilegia_canadensis,Columbine,Coshocton Co.,1942,DIV6,6.93,128
Cornus_florida,Flowering dogwood,Coshocton Co.,1942,DIV6,6.93,125
Aquilegia_canadensis,Columbine,Jefferson Co.,1944,DIV7,7.02,134
Aquilegia_canadensis,Columbine,Warren Co.,1901,DIV8,7.03,148
Cornus_florida,Flowering dogwood,Richland Co.,1896,DIV6,7.06,142
Cornus_florida,Flowering dogwood,Clinton Co.,1971,DIV8,7.07,121
Aquilegia_canadensis,Columbine,Ottawa Co.,1896,DIV2,7.08,130
Cornus_florida,Flowering dogwood,Lorain Co.,1896,DIV2,7.08,131
Cornus_florida,Flowering dogwood,Delaware Co.,1993,DIV5,7.08,140
Cornus_florida,Flowering dogwood,Delaware Co.,1984,DIV5,7.08,119
Cornus_florida,Flowering dogwood,Delaware Co.,1967,DIV5,7.14,123
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1963,DIV5,7.19,138
Cornus_florida,Flowering dogwood,Franklin Co.,1989,DIV5,7.22,119
Cornus_florida,Flowering dogwood,Franklin Co.,1989,DIV5,7.22,129
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1900,DIV5,7.45,139
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1900,DIV5,7.45,139
Cornus_florida,Flowering dogwood,Fairfield Co.,1969,DIV5,7.61,123
Aquilegia_canadensis,Columbine,Jackson Co.,1934,DIV9,7.62,130
Cornus_florida,Flowering dogwood,Jackson Co.,1934,DIV9,7.62,126
Cornus_florida,Flowering dogwood,Jackson Co.,1934,DIV9,7.62,134
Cornus_florida,Flowering dogwood,Scioto Co.,1934,DIV9,7.62,129
Castilleja_coccinea,Indian's Paintbrush,Adams Co.,1967,DIV8,7.63,155
Castilleja_coccinea,Indian's Paintbrush,Adams Co.,1967,DIV8,7.63,150
Cornus_florida,Flowering dogwood,Licking Co.,1988,DIV5,7.63,127
Cornus_florida,Flowering dogwood,Licking Co.,1988,DIV5,7.63,136
Cornus_florida,Flowering dogwood,Greene Co.,1902,DIV8,7.79,130
Castilleja_coccinea,Indian's Paintbrush,Franklin Co.,1899,DIV5,7.86,142
Aquilegia_canadensis,Columbine,Franklin Co.,1899,DIV5,7.86,130
Cornus_florida,Flowering dogwood,Franklin Co.,1899,DIV5,7.86,152
Aquilegia_canadensis,Columbine,Champaign Co.,1985,DIV4,7.97,133
Aquilegia_canadensis,Columbine,Ross Co.,1972,DIV9,8.02,129
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1935,DIV5,8.07,139
Aquilegia_canadensis,Columbine,Fairfield Co.,1935,DIV5,8.07,143
Cornus_florida,Flowering dogwood,Franklin Co.,1983,DIV5,8.07,125
Cornus_florida,Flowering dogwood,Fairfield Co.,1982,DIV5,8.09,128
Cornus_florida,Flowering dogwood,Auglaize Co.,1896,DIV4,8.14,123
Cornus_florida,Flowering dogwood,Ashland Co.,1976,DIV6,8.15,118
Cornus_florida,Flowering dogwood,Richland Co.,1976,DIV6,8.15,125
Cornus_florida,Flowering dogwood,Wayne Co.,1976,DIV6,8.15,131
Cornus_florida,Flowering dogwood,Brown Co.,1970,DIV8,8.19,122
Aquilegia_canadensis,Columbine,Greene Co.,1909,DIV8,8.31,135
Cornus_florida,Flowering dogwood,Darke Co.,1955,DIV4,8.31,120
Castilleja_coccinea,Indian's Paintbrush,Adams Co.,2002,DIV8,8.43,133
Cornus_florida,Flowering dogwood,Scioto Co.,1989,DIV9,8.51,112
Cypripedium_acaule,Moccasin flower,Jackson Co.,1981,DIV9,8.54,125
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1898,DIV5,8.55,141
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1898,DIV5,8.55,148
Cornus_florida,Flowering dogwood,Licking Co.,1898,DIV5,8.55,135
Cornus_florida,Flowering dogwood,Miami Co.,1903,DIV4,8.6,136
Cypripedium_acaule,Moccasin flower,Adams Co.,1932,DIV8,8.68,142
Cornus_florida,Flowering dogwood,Butler Co.,1932,DIV8,8.68,118
Aquilegia_canadensis,Columbine,Ross Co.,1970,DIV9,8.72,121
Cornus_florida,Flowering dogwood,Greene Co.,1964,DIV8,8.72,130
Cypripedium_acaule,Moccasin flower,Scioto Co.,1988,DIV9,8.74,121
Castilleja_coccinea,Indian's Paintbrush,Adams Co.,1933,DIV8,8.89,141
Aquilegia_canadensis,Columbine,Hamilton Co.,1933,DIV8,8.89,134
Cornus_florida,Flowering dogwood,Butler Co.,1933,DIV8,8.89,138
Cypripedium_acaule,Moccasin flower,Pike Co.,1982,DIV9,8.97,120
Cornus_florida,Flowering dogwood,Scioto Co.,1982,DIV9,8.97,131
Castilleja_coccinea,Indian's Paintbrush,Adams Co.,1975,DIV8,9.03,139
Cornus_florida,Flowering dogwood,Greene Co.,1898,DIV8,9.11,135
Cornus_florida,Flowering dogwood,Fayette Co.,1957,DIV5,9.14,130
Cornus_florida,Flowering dogwood,Hamilton Co.,1896,DIV8,9.14,125
Aquilegia_canadensis,Columbine,Franklin Co.,1977,DIV5,9.33,115
Cornus_florida,Flowering dogwood,Jackson Co.,2006,DIV9,9.33,113
Aquilegia_canadensis,Columbine,Franklin Co.,1987,DIV5,9.37,130
Cornus_florida,Flowering dogwood,Delaware Co.,1990,DIV5,9.38,127
Cypripedium_acaule,Moccasin flower,Adams Co.,1949,DIV8,9.44,135
Castilleja_coccinea,Indian's Paintbrush,Adams Co.,1987,DIV8,9.79,111
Castilleja_coccinea,Indian's Paintbrush,Adams Co.,2000,DIV8,9.86,123
Aquilegia_canadensis,Columbine,Adams Co.,1977,DIV8,9.86,102
Cornus_florida,Flowering dogwood,Adams Co.,2000,DIV8,9.86,122
Castilleja_coccinea,Indian's Paintbrush,Pike Co.,1953,DIV9,9.92,122
Cornus_florida,Flowering dogwood,Montgomery Co.,1903,DIV8,10.08,122
Cornus_florida,Flowering dogwood,Clinton Co.,1991,DIV8,10.19,124
Castilleja_coccinea,Indian's Paintbrush,Madison Co.,1930,DIV5,10.21,138
Aquilegia_canadensis,Columbine,Fairfield Co.,1930,DIV5,10.21,117
Cornus_florida,Flowering dogwood,Franklin Co.,1991,DIV5,10.84,108
Aquilegia_canadensis,Columbine,Ross Co.,1938,DIV9,11.13,112
